generation,meanFitness,bestFitness,diversity
0,0.5140411713933988,0.5882867000446459,0.518
10,0.6153240445854558,0.6447069079199614,0.37149999999999994
20,0.6536720043239004,0.665753404097824,0.198
30,0.6635553479046316,0.6707832168305113,0.10450000000000001
40,0.6658805179898364,0.6711052787609013,8.450000000000002e-2
50,0.6663695929846105,0.6711052787609013,6.050000000000002e-2
60,0.6664121703893348,0.6711052787609013,5.250000000000001e-2
70,0.6666207155896993,0.6711052787609013,5.5500000000000015e-2
80,0.6662503169051328,0.6711052787609013,5.800000000000002e-2
90,0.6664175624514047,0.6711052787609013,5.3000000000000005e-2
100,0.6661847521292154,0.6711052787609013,4.450000000000002e-2
110,0.6669660474471145,0.6711052787609013,4.650000000000002e-2
120,0.6662558084220196,0.6711052787609013,5.2500000000000005e-2
130,0.6666680637466831,0.6711052787609013,5.950000000000002e-2
140,0.6658898751327099,0.6711052787609013,5.350000000000001e-2
150,0.6666757240628399,0.6711052787609013,4.500000000000001e-2
160,0.6660969468584524,0.6711052787609013,4.400000000000002e-2
170,0.6666598170704476,0.6711052787609013,4.000000000000001e-2
180,0.6669025970212928,0.6711052787609013,5.0500000000000024e-2
190,0.6668996439321816,0.6711052787609013,4.700000000000001e-2
200,0.6663466651467417,0.6711052787609013,5.100000000000001e-2
210,0.6660219458534137,0.6711052787609013,5.850000000000001e-2
220,0.6663104205992225,0.6711052787609013,4.900000000000002e-2
230,0.6663774735314569,0.6711052787609013,4.7e-2
240,0.6663641675140594,0.6711052787609013,5.05e-2
250,0.6665485402628846,0.6711052787609013,5.6500000000000015e-2
260,0.6665963115227772,0.6711052787609013,4.550000000000001e-2
270,0.6665403601314516,0.6711052787609013,4.850000000000001e-2
280,0.6658574355666497,0.6711052787609013,5.900000000000001e-2
290,0.6667334049254781,0.6711052787609013,3.9000000000000014e-2
300,0.6666388538706997,0.6711052787609013,4.6e-2
310,0.6663515936662442,0.6711052787609013,5.4500000000000014e-2
320,0.6666271551583314,0.6711052787609013,3.950000000000001e-2
330,0.6666576111626007,0.6711052787609013,4.25e-2
340,0.6660357975546171,0.6711052787609013,4.750000000000002e-2
350,0.6663889175155587,0.6711052787609013,5.000000000000001e-2
360,0.66580875447014,0.6711052787609013,5.900000000000002e-2
370,0.6660908512699222,0.6711052787609013,5.350000000000001e-2
380,0.6665088249064967,0.6711052787609013,4.200000000000001e-2
390,0.6664829285449514,0.6711052787609013,4.1500000000000016e-2
400,0.6666421663375851,0.6711052787609013,4.350000000000002e-2
410,0.6663324071075256,0.6711052787609013,5.450000000000003e-2
420,0.6667274573284553,0.6711052787609013,4.8e-2
430,0.6671333697975254,0.6711052787609013,3.800000000000001e-2
440,0.666239606787068,0.6711052787609013,5.449999999999999e-2
450,0.6667450450620157,0.6711052787609013,3.350000000000001e-2
460,0.6668528727599501,0.6711052787609013,3.45e-2
470,0.6664468287794874,0.6711052787609013,4.950000000000002e-2
480,0.6663435727845608,0.6711052787609013,4.800000000000001e-2
490,0.6663919624250485,0.6711052787609013,4.350000000000001e-2
500,0.666946921637094,0.6711052787609013,4.0000000000000015e-2
