generation,K,metric,ring_mean,star_mean,eta_squared,u_stat,p_value,winner
100,0,diversity,0.049075000000000014,0.04980000000000001,0.0034934679211580857,192.5,0.8497762414253774,star
100,0,bestFitness,0.6711052787609013,0.6711052787609013,0.0,200.0,1.0,star
100,2,diversity,0.131325,0.12055,0.014538821834256291,235.0,0.3507022236669548,ring
100,2,bestFitness,0.7414928467164146,0.7408619093988843,0.00988486016399942,211.0,0.7762883431957218,ring
100,4,diversity,0.23472499999999993,0.24344999999999994,0.005644958826666486,188.0,0.7557428276359095,star
100,4,bestFitness,0.7669278007278478,0.7649100730586434,0.013882266569186699,225.0,0.507505297961912,ring
100,6,diversity,0.315975,0.36399999999999993,0.16139370148199986,115.0,0.022269911309813133,star
100,6,bestFitness,0.7435721870034548,0.7443689442199493,0.0015217077082245018,195.0,0.9031164959895642,star
200,0,diversity,0.044850000000000015,0.04677500000000001,0.027615920258971922,162.0,0.3102660527364498,star
200,0,bestFitness,0.6711052787609013,0.6711052787609013,0.0,200.0,1.0,star
200,2,diversity,0.089925,0.062725,0.1391728990576052,283.5,0.024744515692525556,ring
200,2,bestFitness,0.7423304970736073,0.7422861989016387,9.740622278940518e-05,207.5,0.8496855987486491,ring
200,4,diversity,0.21542499999999998,0.17347499999999996,0.06960310702006343,260.0,0.10747837041707084,ring
200,4,bestFitness,0.7697593682191716,0.7707420413635346,0.0033183394716877566,190.5,0.8076473479649269,star
200,6,diversity,0.28787499999999994,0.29262499999999997,0.0010010692861960166,183.0,0.6553614390103917,star
200,6,bestFitness,0.7505858775568524,0.7511835844348259,0.0006104915163849619,186.0,0.7149798814655983,star
300,0,diversity,0.044600000000000015,0.04567500000000001,0.00719122274122089,189.0,0.7763496574017831,star
300,0,bestFitness,0.6711052787609013,0.6711052787609013,0.0,200.0,1.0,star
300,2,diversity,0.07442499999999999,0.05070000000000001,0.09988282690489457,248.0,0.19872915772605582,ring
300,2,bestFitness,0.7426218020567485,0.7423802292201797,0.0029275391689512985,215.5,0.6845189694349716,ring
300,4,diversity,0.15669999999999998,0.13989999999999997,0.012741038748575776,223.0,0.5427717015170068,ring
300,4,bestFitness,0.771406096477689,0.7722541309326293,0.002966007989336756,184.0,0.6750141566504884,star
300,6,diversity,0.27859999999999996,0.24664999999999998,0.02786022568829057,251.0,0.17192970543827346,ring
300,6,bestFitness,0.7522163381200654,0.7537439115109399,0.0033280923134172452,176.0,0.5249869101903615,star
500,0,diversity,0.046025,0.04717500000000001,0.013514203964847859,179.5,0.5883838690104228,star
500,0,bestFitness,0.6711052787609013,0.6711052787609013,0.0,200.0,1.0,star
500,2,diversity,0.061775000000000004,0.04522500000000001,0.132460827933069,246.0,0.21831911233834833,ring
500,2,bestFitness,0.7429171854558156,0.7425518158817069,0.007875928210539548,220.5,0.5879455272392036,ring
500,4,diversity,0.14799999999999996,0.10287500000000001,0.07742790650972849,261.0,0.10171258013815739,ring
500,4,bestFitness,0.7721304324312678,0.7722032144617145,1.970869849132708e-05,191.0,0.8181494613881999,star
500,6,diversity,0.24897499999999995,0.19217499999999996,0.08006903889741766,258.0,0.11985556595924766,ring
500,6,bestFitness,0.753282207201507,0.756854880789851,0.017175453056636817,163.0,0.3234817459216911,star
