domain,topology,seed,within_island,between_island,pooled_exact,pooled_reconstructed,pooled_sampled_repro,pooled_published,final_best_fitness,final_mean_fitness
nk4,star_hub_in,14,0.08044082,0.36942160,0.31255390,0.31255390,0.34450000,0.34450000,0.74255651,0.71944736
nk4,star_hub_in,15,0.07215347,0.29481040,0.25099438,0.25099438,0.29300000,0.29300000,0.76659714,0.72964242
nk4,star_hub_in,16,0.06174204,0.25364640,0.21588209,0.21588209,0.18900000,0.18900000,0.74786131,0.72688226
nk4,star_hub_in,17,0.07620245,0.37152640,0.31341044,0.31341044,0.30200000,0.30200000,0.75719779,0.72499961
nk4,star_hub_in,18,0.08229714,0.41362960,0.34842763,0.34842763,0.30500000,0.30500000,0.76075245,0.72438199
nk4,star_hub_in,19,0.07845551,0.34399520,0.29174040,0.29174040,0.31400000,0.31400000,0.75238670,0.72705826
nk4,star_hub_in,20,0.07533714,0.37273200,0.31420851,0.31420851,0.34050000,0.34050000,0.74618771,0.72337339
nk4,star_hub_in,21,0.07771918,0.36210240,0.30613944,0.30613944,0.34650000,0.34650000,0.76242684,0.72931666
nk4,star_hub_in,22,0.07203429,0.34364000,0.29019149,0.29019149,0.29750000,0.29750000,0.74522259,0.72212742
nk4,star_hub_in,23,0.06208490,0.29090240,0.24587406,0.24587406,0.22900000,0.22900000,0.76553670,0.73180168
nk4,star_hub_in,24,0.07667918,0.37124080,0.31327486,0.31327486,0.29150000,0.29150000,0.73919841,0.72209017
nk4,star_hub_in,25,0.07996898,0.35090160,0.29758554,0.29758554,0.28800000,0.28800000,0.74827686,0.72168429
nk4,star_hub_in,26,0.08141388,0.34475760,0.29293494,0.29293494,0.30250000,0.30250000,0.75035702,0.72051956
nk4,star_hub_in,27,0.08067265,0.37044640,0.31342265,0.31342265,0.37300000,0.37300000,0.74591572,0.71941513
nk4,star_hub_in,28,0.06639673,0.29225360,0.24780787,0.24780787,0.28000000,0.28000000,0.75976866,0.72441989
nk4,star_hub_in,29,0.07216816,0.34349600,0.29010217,0.29010217,0.27800000,0.27800000,0.75538698,0.72579806
nk4,star_undirected,0,0.02539755,0.02623280,0.02606843,0.02606843,0.02300000,0.02300000,0.74261932,0.73282214
nk4,star_undirected,1,0.04757551,0.05448560,0.05312578,0.05312578,0.04450000,0.04450000,0.76109495,0.74506098
nk4,star_undirected,2,0.09686367,0.19434800,0.17516434,0.17516434,0.14850000,0.14850000,0.75434754,0.73158236
nk4,star_undirected,3,0.03171265,0.03232400,0.03220369,0.03220369,0.03250000,0.03250000,0.77437453,0.75909747
nk4,star_undirected,4,0.03014857,0.03197440,0.03161510,0.03161510,0.03000000,0.03000000,0.75363321,0.74151128
nk4,star_undirected,5,0.03769633,0.04080960,0.04019695,0.04019695,0.03600000,0.03600000,0.75387524,0.74094734
nk4,star_undirected,6,0.03604735,0.04056640,0.03967711,0.03967711,0.04150000,0.04150000,0.76596385,0.75047473
nk4,star_undirected,7,0.05487673,0.14683200,0.12873639,0.12873639,0.19950000,0.19950000,0.75387884,0.73998452
nk4,star_undirected,8,0.06919673,0.20081200,0.17491181,0.17491181,0.22950000,0.22950000,0.75088773,0.73322805
nk4,star_undirected,9,0.02767837,0.02880960,0.02858699,0.02858699,0.02900000,0.02900000,0.76990739,0.75719438
nk4,star_undirected,10,0.06332735,0.15550720,0.13736739,0.13736739,0.12200000,0.12200000,0.75045084,0.72836869
nk4,star_undirected,11,0.04083265,0.04812640,0.04669108,0.04669108,0.05100000,0.05100000,0.74814456,0.73294321
nk4,star_undirected,12,0.02712490,0.02778320,0.02765365,0.02765365,0.03300000,0.03300000,0.76153719,0.74936889
nk4,star_undirected,13,0.03503837,0.03878960,0.03805141,0.03805141,0.03700000,0.03700000,0.76424960,0.74723338
