graph_id,lambda2,domain,seed,final_diversity,final_best_fitness,final_mean_fitness
rand3_12_s148,0.1677,onemax,0,0.015500000000000003,1.0,0.9926666666666667
rand3_12_s148,0.1677,onemax,1,0.014499999999999999,1.0,0.9922333333333335
rand3_12_s148,0.1677,onemax,2,0.015500000000000003,1.0,0.9919333333333334
rand3_12_s148,0.1677,onemax,3,0.015000000000000003,1.0,0.9924166666666667
rand3_12_s148,0.1677,onemax,4,0.017500000000000005,1.0,0.9906666666666668
rand3_12_s148,0.1677,onemax,5,0.020999999999999998,1.0,0.9925333333333333
rand3_12_s148,0.1677,onemax,6,0.018,1.0,0.9920166666666668
rand3_12_s148,0.1677,onemax,7,0.017500000000000005,1.0,0.9924000000000001
rand3_12_s148,0.1677,onemax,8,0.017000000000000005,1.0,0.9911333333333334
rand3_12_s148,0.1677,onemax,9,0.0105,1.0,0.9923333333333333
rand3_12_s148,0.1677,onemax,10,0.017500000000000005,1.0,0.9915833333333334
rand3_12_s148,0.1677,onemax,11,0.014499999999999999,1.0,0.9921333333333333
rand3_12_s148,0.1677,onemax,12,0.015000000000000003,1.0,0.9916
rand3_12_s148,0.1677,onemax,13,0.016,1.0,0.9914500000000002
rand3_12_s148,0.1677,onemax,14,0.019500000000000007,1.0,0.9917833333333335
rand3_12_s148,0.1677,onemax,15,0.018500000000000006,1.0,0.9923500000000002
rand3_12_s148,0.1677,onemax,16,0.016999999999999998,1.0,0.9920166666666668
rand3_12_s148,0.1677,onemax,17,0.019500000000000003,1.0,0.9921833333333334
rand3_12_s148,0.1677,onemax,18,0.02150000000000001,1.0,0.9901666666666668
rand3_12_s148,0.1677,onemax,19,0.0115,1.0,0.9930166666666665
rand3_12_s148,0.1677,nk4,0,0.12949999999999998,0.7515162267555523,0.7442852794399739
rand3_12_s148,0.1677,nk4,1,0.027499999999999997,0.7724893714411368,0.7629350100599891
rand3_12_s148,0.1677,nk4,2,0.05700000000000001,0.7692383961791157,0.7558589808469781
rand3_12_s148,0.1677,nk4,3,0.13499999999999998,0.7616009936656467,0.7523490687125525
rand3_12_s148,0.1677,nk4,4,0.02450000000000001,0.7630227137825212,0.7536848630900524
rand3_12_s148,0.1677,nk4,5,0.25399999999999995,0.7558497907268987,0.7439773304910593
rand3_12_s148,0.1677,nk4,6,0.0955,0.7789852569543182,0.7658278913850038
rand3_12_s148,0.1677,nk4,7,0.10199999999999998,0.7629516848814746,0.7544341776638219
rand3_12_s148,0.1677,nk4,8,0.029500000000000005,0.7671819264898319,0.7570580667011371
rand3_12_s148,0.1677,nk4,9,0.192,0.7662783463677559,0.7536341090345822
