generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.516563,0.566896,0.394500,0.000000,0.497698,0.515920
10,0.591833,0.649125,0.406500,0.115200,0.404890,0.489691
20,0.636514,0.680083,0.387000,0.114053,0.301412,0.448494
30,0.663650,0.697272,0.360000,0.098371,0.283314,0.424490
40,0.683717,0.714921,0.385500,0.067255,0.265167,0.413259
50,0.690017,0.728955,0.336000,0.060263,0.258416,0.401356
60,0.696587,0.733572,0.333000,0.059231,0.237331,0.405342
70,0.698174,0.736197,0.369000,0.053802,0.245037,0.403728
80,0.696625,0.733780,0.357000,0.053404,0.269380,0.410302
90,0.699807,0.736024,0.320000,0.050361,0.270824,0.410367
100,0.701641,0.738221,0.365000,0.057061,0.263951,0.405726
110,0.707657,0.738727,0.276000,0.046512,0.223429,0.396666
120,0.707618,0.739715,0.376500,0.050504,0.231853,0.397830
130,0.706655,0.740239,0.335000,0.058943,0.220278,0.399310
140,0.709445,0.740239,0.358500,0.048200,0.226408,0.401020
150,0.709272,0.740239,0.371500,0.048567,0.229224,0.400511
160,0.710277,0.740245,0.407000,0.044904,0.227804,0.402998
170,0.712223,0.740239,0.340000,0.046108,0.223453,0.401726
180,0.713061,0.740245,0.302500,0.043459,0.224400,0.400806
190,0.712691,0.740245,0.342500,0.044514,0.220490,0.400929
200,0.710614,0.740245,0.278000,0.047878,0.219200,0.398842
210,0.712697,0.741470,0.296000,0.041137,0.220522,0.401413
220,0.711397,0.740245,0.323000,0.048802,0.225102,0.398530
230,0.710277,0.743395,0.338000,0.053557,0.225804,0.402142
240,0.709330,0.740245,0.359000,0.047478,0.230898,0.403065
250,0.712278,0.740245,0.340000,0.046831,0.221298,0.396253
260,0.711536,0.740245,0.370500,0.047122,0.229053,0.400028
270,0.711339,0.740245,0.333000,0.045761,0.219641,0.399078
280,0.711067,0.740245,0.276000,0.045265,0.222563,0.401355
290,0.713625,0.740245,0.354000,0.045196,0.213576,0.394965
300,0.711669,0.740245,0.340500,0.045690,0.213976,0.394562
310,0.713725,0.741899,0.348500,0.042790,0.219731,0.393563
320,0.710660,0.740245,0.333000,0.046643,0.223445,0.397358
330,0.712861,0.740245,0.273500,0.041347,0.218302,0.392177
340,0.712251,0.739715,0.264000,0.042243,0.224727,0.396045
350,0.710068,0.740245,0.314000,0.051433,0.223869,0.396018
360,0.709394,0.740245,0.310500,0.059298,0.221690,0.402818
370,0.710274,0.738968,0.377500,0.056016,0.225298,0.405073
380,0.710835,0.739715,0.367000,0.046096,0.224996,0.402925
390,0.709844,0.740245,0.270500,0.049931,0.223437,0.398733
400,0.710697,0.739715,0.369000,0.046547,0.228873,0.397673
410,0.711773,0.740001,0.371500,0.049257,0.219584,0.394508
420,0.713798,0.740245,0.389500,0.041367,0.219371,0.394458
430,0.712870,0.740245,0.411500,0.051271,0.213624,0.391566
440,0.710419,0.740632,0.249500,0.054965,0.213804,0.388955
450,0.711883,0.746439,0.369000,0.054414,0.217837,0.390855
460,0.713305,0.746439,0.354000,0.051735,0.223355,0.388459
470,0.712093,0.746439,0.358000,0.051343,0.233461,0.394708
480,0.713620,0.746861,0.320000,0.055967,0.219094,0.392694
490,0.711234,0.746861,0.360500,0.048029,0.228359,0.395138
500,0.715164,0.750865,0.346000,0.043069,0.217649,0.390155
