generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.478680,0.600000,0.424500,0.000000,0.498539,0.495360
10,0.635520,0.840000,0.423000,0.169206,0.353820,0.455991
20,0.793360,0.960000,0.283000,0.153690,0.182857,0.323423
30,0.899440,0.990000,0.155000,0.107320,0.080563,0.172982
40,0.958640,1.000000,0.076000,0.063892,0.028024,0.078232
50,0.976600,1.000000,0.046000,0.048886,0.016237,0.045834
60,0.984360,1.000000,0.024000,0.035233,0.010604,0.030822
70,0.985040,1.000000,0.027000,0.033061,0.012424,0.029490
80,0.985600,1.000000,0.025000,0.031918,0.011918,0.028379
90,0.982200,1.000000,0.041500,0.039106,0.016008,0.034982
100,0.983400,1.000000,0.034000,0.036696,0.014269,0.032661
110,0.985160,1.000000,0.033000,0.033653,0.009167,0.029269
120,0.984160,1.000000,0.032500,0.034041,0.017910,0.031198
130,0.985240,1.000000,0.031000,0.032990,0.011771,0.029078
140,0.983160,1.000000,0.032000,0.037322,0.013020,0.033142
150,0.983720,1.000000,0.031500,0.035233,0.016922,0.032018
160,0.985680,1.000000,0.029500,0.032971,0.007967,0.028258
170,0.984640,1.000000,0.034500,0.034898,0.009551,0.030293
180,0.983560,1.000000,0.021500,0.035910,0.015976,0.032323
190,0.984640,1.000000,0.035500,0.034900,0.008318,0.030215
200,0.981960,1.000000,0.031500,0.038998,0.018743,0.035398
210,0.985160,1.000000,0.024500,0.032665,0.013869,0.029280
220,0.984520,1.000000,0.029000,0.033604,0.015959,0.030497
230,0.985680,1.000000,0.029000,0.031765,0.012286,0.028282
240,0.984320,1.000000,0.033500,0.034608,0.013486,0.030871
250,0.984960,1.000000,0.029000,0.033122,0.014122,0.029604
260,0.985320,1.000000,0.032000,0.032465,0.013037,0.028902
270,0.982800,1.000000,0.029000,0.038155,0.013437,0.033774
280,0.984840,1.000000,0.020000,0.034339,0.009935,0.029900
290,0.984600,1.000000,0.034000,0.033859,0.011918,0.030353
300,0.987440,1.000000,0.026500,0.028500,0.009135,0.024822
310,0.984480,1.000000,0.029500,0.034565,0.012188,0.030566
320,0.984120,1.000000,0.027500,0.035545,0.011935,0.031192
330,0.984800,1.000000,0.029500,0.034490,0.009518,0.029974
340,0.983440,1.000000,0.026500,0.037765,0.009118,0.032605
350,0.986640,1.000000,0.030000,0.030333,0.009935,0.026375
360,0.984960,1.000000,0.030000,0.034627,0.007567,0.029669
370,0.984000,1.000000,0.027500,0.036376,0.009502,0.031473
380,0.984480,1.000000,0.033000,0.035129,0.011551,0.030582
390,0.983640,1.000000,0.031000,0.036167,0.014473,0.032159
400,0.984080,1.000000,0.025500,0.034755,0.015624,0.031311
410,0.985440,1.000000,0.031500,0.032745,0.009918,0.028714
420,0.985720,1.000000,0.033500,0.032449,0.009135,0.028186
430,0.984680,1.000000,0.029000,0.034253,0.011469,0.030179
440,0.985160,1.000000,0.031000,0.032349,0.015053,0.029236
450,0.984280,1.000000,0.035000,0.034469,0.015257,0.030961
460,0.986920,1.000000,0.027500,0.028357,0.014171,0.025878
470,0.983080,1.000000,0.037500,0.037641,0.012269,0.033260
480,0.984720,1.000000,0.023500,0.033637,0.014939,0.030107
490,0.984960,1.000000,0.027500,0.032688,0.015437,0.029633
500,0.986760,1.000000,0.024500,0.029243,0.011722,0.026146
