generation,leafWithinDiv,hubWithinDiv
264,0.048561,0.029461
265,0.050098,0.034114
266,0.053133,0.041347
267,0.052376,0.044931
268,0.050457,0.045649
269,0.052357,0.048065
270,0.051939,0.050327
271,0.054055,0.048686
272,0.055682,0.052506
273,0.048322,0.052114
274,0.047616,0.053796
275,0.044463,0.054947
276,0.040310,0.047673
277,0.039663,0.050180
278,0.040331,0.055176
279,0.039916,0.050482
280,0.049076,0.056180
281,0.059512,0.057249
282,0.052561,0.061902
283,0.049580,0.056539
284,0.054339,0.060253
285,0.050502,0.060743
286,0.051708,0.061380
287,0.049769,0.053469
288,0.052967,0.051380
289,0.052437,0.051298
290,0.055376,0.049959
291,0.070037,0.056963
292,0.068594,0.047869
293,0.059461,0.038743
294,0.051912,0.044294
295,0.053710,0.047037
296,0.051696,0.049208
297,0.049606,0.047167
298,0.053408,0.044833
299,0.050390,0.045249
300,0.051661,0.050800
301,0.060045,0.054596
302,0.051247,0.051992
303,0.051302,0.045102
304,0.051627,0.033763
305,0.049863,0.036539
306,0.049476,0.033771
307,0.050294,0.032188
308,0.050996,0.028645
309,0.053967,0.035110
310,0.056669,0.039780
311,0.063206,0.037967
312,0.057704,0.040645
313,0.053259,0.041257
314,0.052392,0.040604
315,0.051400,0.042571
316,0.050722,0.040604
317,0.052669,0.040024
318,0.052122,0.040318
319,0.053873,0.041739
320,0.054314,0.039551
321,0.064412,0.037845
322,0.051510,0.043771
323,0.048153,0.048751
324,0.046543,0.052155
325,0.042290,0.051314
326,0.046761,0.053290
327,0.047916,0.040318
328,0.049333,0.036833
329,0.047363,0.035600
330,0.047473,0.043714
331,0.051912,0.048147
332,0.049271,0.043796
333,0.044459,0.051804
334,0.045361,0.045314
335,0.045216,0.050180
336,0.045141,0.047216
337,0.044610,0.047624
338,0.044006,0.046204
339,0.043822,0.051273
340,0.046524,0.048343
341,0.048549,0.043567
342,0.043084,0.042139
343,0.040688,0.043363
344,0.038820,0.040278
345,0.039012,0.033151
346,0.038573,0.030033
347,0.035441,0.032163
348,0.037294,0.037118
349,0.038076,0.033698
350,0.040004,0.041061
351,0.046208,0.036327
352,0.039933,0.036645
353,0.038463,0.034016
354,0.037329,0.028694
355,0.038347,0.029069
356,0.037584,0.034727
357,0.039153,0.034408
358,0.038592,0.032229
359,0.042531,0.031282
360,0.045190,0.031576
361,0.052212,0.040327
362,0.047014,0.041608
363,0.045649,0.047600
364,0.044688,0.040735
365,0.049596,0.042131
366,0.046488,0.045306
367,0.045604,0.041935
368,0.042592,0.042751
369,0.041645,0.044294
370,0.045773,0.036669
371,0.051822,0.033984
372,0.044045,0.035012
373,0.039502,0.033241
374,0.039002,0.037061
375,0.043596,0.037029
376,0.043839,0.038612
377,0.044847,0.033559
378,0.044363,0.037984
379,0.043714,0.038482
380,0.046020,0.038073
381,0.044037,0.039502
382,0.040647,0.034449
383,0.041098,0.034947
384,0.041490,0.035216
385,0.040298,0.030163
386,0.044547,0.028735
387,0.044824,0.028033
388,0.044002,0.035241
389,0.041992,0.040114
390,0.042957,0.047094
391,0.054006,0.046171
392,0.044696,0.042016
393,0.045035,0.043257
394,0.046135,0.044596
395,0.045822,0.047518
396,0.045778,0.043935
397,0.044488,0.046890
398,0.043635,0.040155
399,0.044227,0.042024
400,0.049802,0.047837
401,0.044012,0.052237
402,0.040902,0.051037
403,0.043604,0.046784
404,0.049122,0.044294
405,0.049180,0.046220
406,0.051912,0.048841
407,0.051351,0.048057
408,0.050790,0.047437
409,0.049618,0.047608
410,0.049247,0.043437
411,0.054922,0.043339
412,0.046759,0.042767
413,0.045324,0.049339
414,0.044218,0.044367
415,0.044971,0.047845
416,0.047900,0.047306
417,0.048751,0.053192
418,0.048912,0.048327
419,0.044233,0.041045
420,0.046394,0.038245
421,0.045471,0.039347
422,0.042906,0.041543
423,0.043802,0.043967
424,0.043031,0.042792
425,0.045369,0.045241
426,0.045851,0.050416
427,0.046471,0.054890
428,0.045276,0.049429
429,0.046482,0.044800
430,0.047922,0.043396
431,0.051680,0.036139
432,0.050055,0.039453
433,0.043243,0.037698
434,0.044643,0.036906
435,0.049222,0.033306
436,0.048447,0.038645
437,0.047767,0.041984
438,0.048773,0.044278
439,0.048127,0.051143
440,0.046857,0.043535
441,0.044794,0.046433
442,0.040331,0.046751
443,0.043116,0.053649
444,0.041616,0.047869
445,0.041514,0.050335
446,0.042576,0.044939
447,0.043214,0.042490
448,0.042298,0.048082
449,0.042988,0.054400
450,0.042455,0.042335
451,0.046065,0.034424
