generation,leafWithinDiv,hubWithinDiv
264,0.044745,0.056678
265,0.051186,0.057837
266,0.053520,0.057339
267,0.049969,0.063992
268,0.046569,0.058547
269,0.048929,0.055437
270,0.049963,0.215976
271,0.050614,0.102612
272,0.048676,0.058743
273,0.049347,0.057731
274,0.047567,0.063290
275,0.045800,0.065404
276,0.046627,0.063331
277,0.043478,0.063371
278,0.044382,0.060139
279,0.044208,0.051657
280,0.047751,0.221020
281,0.046978,0.074980
282,0.049576,0.063167
283,0.050033,0.063069
284,0.051200,0.060865
285,0.046557,0.061510
286,0.046980,0.065943
287,0.046376,0.064441
288,0.047861,0.065037
289,0.045935,0.062106
290,0.042316,0.226131
291,0.044176,0.116727
292,0.044927,0.072963
293,0.044318,0.063739
294,0.041520,0.060473
295,0.045551,0.062727
296,0.042306,0.066522
297,0.042608,0.063355
298,0.043584,0.061045
299,0.043616,0.056661
300,0.042569,0.218310
301,0.043255,0.104914
302,0.042929,0.061331
303,0.042331,0.056245
304,0.044596,0.047429
305,0.042810,0.047633
306,0.042541,0.048441
307,0.045157,0.050604
308,0.046943,0.043502
309,0.047729,0.045796
310,0.046227,0.215322
311,0.046114,0.064922
312,0.041847,0.054531
313,0.043188,0.059159
314,0.045418,0.062335
315,0.042778,0.064645
316,0.041218,0.060155
317,0.044627,0.060637
318,0.043747,0.065739
319,0.047249,0.068245
320,0.045753,0.228310
321,0.048778,0.086220
322,0.048073,0.070131
323,0.047265,0.072041
324,0.046449,0.075012
325,0.042620,0.070261
326,0.044133,0.075314
327,0.044969,0.065657
328,0.049345,0.059927
329,0.050149,0.055861
330,0.045763,0.216073
331,0.050512,0.096612
332,0.052010,0.045053
333,0.048457,0.049494
334,0.047043,0.044857
335,0.048761,0.053176
336,0.050339,0.055624
337,0.051484,0.060702
338,0.051331,0.054253
339,0.052798,0.060212
340,0.053161,0.215616
341,0.050798,0.066604
342,0.049892,0.052678
343,0.049857,0.054702
344,0.048449,0.053494
345,0.048518,0.051698
346,0.044482,0.044890
347,0.038718,0.052588
348,0.039682,0.055763
349,0.040441,0.049714
350,0.041910,0.211118
351,0.048104,0.120522
352,0.048757,0.074335
353,0.045869,0.070286
354,0.046216,0.057535
355,0.045800,0.050106
356,0.044231,0.050604
357,0.044269,0.051118
358,0.045469,0.044180
359,0.048298,0.040841
360,0.050980,0.204710
361,0.051751,0.057641
362,0.051347,0.049600
363,0.051320,0.050588
364,0.046973,0.051012
365,0.051933,0.051812
366,0.046580,0.053984
367,0.046782,0.040980
368,0.043367,0.039894
369,0.044602,0.045094
370,0.044969,0.212800
371,0.044329,0.079078
372,0.045776,0.042849
373,0.045371,0.044514
374,0.045645,0.049657
375,0.047833,0.043861
376,0.047851,0.051657
377,0.047747,0.046645
378,0.046853,0.050710
379,0.049290,0.043086
380,0.050431,0.207584
381,0.049839,0.074351
382,0.048531,0.040400
383,0.049441,0.043143
384,0.048733,0.043086
385,0.048345,0.037722
386,0.050020,0.034449
387,0.046773,0.031771
388,0.049365,0.036473
389,0.047557,0.039641
390,0.047929,0.212939
391,0.046255,0.091600
392,0.046198,0.061665
393,0.050955,0.073029
394,0.050576,0.075682
395,0.048769,0.078686
396,0.051412,0.076506
397,0.051057,0.074114
398,0.048255,0.067869
399,0.047459,0.072522
400,0.049506,0.219355
401,0.047808,0.123527
402,0.048045,0.067322
403,0.052992,0.060310
404,0.057373,0.060171
405,0.058329,0.063371
406,0.059680,0.060441
407,0.058545,0.064531
408,0.058094,0.065861
409,0.053596,0.059559
410,0.050502,0.221567
411,0.050961,0.134253
412,0.049778,0.066629
413,0.045994,0.065559
414,0.047427,0.056057
415,0.046865,0.051176
416,0.049496,0.048727
417,0.050471,0.051739
418,0.051004,0.051331
419,0.046143,0.048065
420,0.045294,0.213004
421,0.045912,0.097967
422,0.050771,0.057298
423,0.050912,0.054735
424,0.048253,0.049282
425,0.048380,0.051682
426,0.046806,0.052539
427,0.046382,0.054808
428,0.044949,0.045355
429,0.044216,0.044000
430,0.040294,0.211559
431,0.042567,0.088939
432,0.044586,0.046816
433,0.043914,0.047910
434,0.046498,0.050400
435,0.049912,0.047086
436,0.045365,0.053984
437,0.043957,0.052980
438,0.043359,0.051992
439,0.046088,0.065878
440,0.044606,0.215878
441,0.043763,0.123673
442,0.045653,0.064939
443,0.049359,0.073951
444,0.047716,0.067796
445,0.048449,0.063935
446,0.050810,0.066147
447,0.051927,0.059143
448,0.051259,0.059624
449,0.052794,0.064539
450,0.047290,0.216776
451,0.047839,0.129584
452,0.045302,0.058171
453,0.045380,0.061241
454,0.047184,0.064645
455,0.047237,0.061527
456,0.045233,0.058931
457,0.040065,0.068114
458,0.039118,0.064808
459,0.037931,0.069355
460,0.035890,0.217273
461,0.038247,0.127061
462,0.040969,0.072196
463,0.042361,0.065992
464,0.043212,0.069420
465,0.046559,0.059861
466,0.044273,0.056188
467,0.044469,0.052098
468,0.045227,0.056629
469,0.047118,0.056090
470,0.045151,0.215535
471,0.049118,0.104008
472,0.048704,0.064841
473,0.049116,0.065845
474,0.046282,0.068882
475,0.045422,0.068473
476,0.044676,0.075690
477,0.045629,0.074922
478,0.046755,0.062163
479,0.043920,0.067461
480,0.046610,0.208612
481,0.042218,0.134457
482,0.042598,0.081951
483,0.041939,0.066139
484,0.044494,0.068122
485,0.046137,0.068939
486,0.044471,0.076914
487,0.042131,0.072327
488,0.044216,0.072416
489,0.044588,0.068955
490,0.045880,0.214718
491,0.048133,0.093984
492,0.047333,0.055845
493,0.046253,0.057176
494,0.046969,0.063396
495,0.043788,0.067445
496,0.043963,0.070318
497,0.045986,0.070212
498,0.040778,0.071453
499,0.041298,0.068490
500,0.041696,0.212710
