generation,meanFitness,bestFitness,diversity
0,1.287298267880017e-2,1.639344262295082e-2,0.893827160493827
10,1.801957842098768e-2,2.127659574468085e-2,0.8506172839506172
20,2.1716406387939084e-2,2.631578947368421e-2,0.7314814814814815
30,2.5744645904035336e-2,3.225806451612903e-2,0.6166666666666666
40,2.9292859105497858e-2,3.8461538461538464e-2,0.6135802469135803
50,3.284910948490948e-2,4.7619047619047616e-2,0.5475308641975307
60,3.656465625229672e-2,5.555555555555555e-2,0.5796296296296296
70,3.9706951049789135e-2,5.555555555555555e-2,0.3925925925925925
80,4.413699196921251e-2,6.666666666666667e-2,0.2580246913580247
90,4.7378175490534934e-2,7.142857142857142e-2,0.16419753086419756
100,4.8881188878574566e-2,8.333333333333333e-2,0.15061728395061727
110,5.066668550237118e-2,8.333333333333333e-2,0.1308641975308642
120,5.012236822834113e-2,7.692307692307693e-2,0.15000000000000002
130,5.111702184342684e-2,8.333333333333333e-2,0.12777777777777777
140,5.529887754845105e-2,9.090909090909091e-2,0.11975308641975309
150,5.641373861598918e-2,9.090909090909091e-2,0.1222222222222222
160,5.75798205929517e-2,0.1,9.320987654320986e-2
170,5.692302710058976e-2,0.1,9.074074074074076e-2
180,5.93795910429964e-2,0.1,8.08641975308642e-2
190,5.9550932788289865e-2,0.1,8.086419753086418e-2
200,5.9387708781511866e-2,0.1,7.530864197530862e-2
210,6.019891599309944e-2,0.1,7.716049382716048e-2
220,5.830976197612618e-2,0.1,7.901234567901232e-2
230,5.884136085867151e-2,0.1,7.222222222222223e-2
240,5.847255177219856e-2,0.1,7.901234567901233e-2
250,5.6109526784555525e-2,8.333333333333333e-2,8.641975308641975e-2
260,6.024322974251226e-2,0.1,8.271604938271607e-2
270,5.8494262101940746e-2,0.1,8.086419753086417e-2
280,5.83045837336961e-2,0.1,7.901234567901234e-2
290,6.0388661922654616e-2,0.1,8.333333333333333e-2
300,5.7580997051810856e-2,0.1,9.25925925925926e-2
310,5.978924881672236e-2,0.1,9.074074074074075e-2
320,5.786668711807114e-2,0.1,9.074074074074073e-2
330,5.944580983723294e-2,0.1,8.765432098765431e-2
340,6.127848217379544e-2,9.090909090909091e-2,7.962962962962963e-2
350,5.820202503384075e-2,8.333333333333333e-2,9.012345679012344e-2
360,5.755987448012631e-2,0.1,9.753086419753085e-2
370,6.063859317935998e-2,0.1,7.037037037037037e-2
380,6.01558685365726e-2,0.1,8.271604938271604e-2
390,5.930153397850269e-2,0.1,8.333333333333331e-2
400,5.814154985311357e-2,9.090909090909091e-2,9.506172839506175e-2
410,5.7705097328226415e-2,0.1,7.65432098765432e-2
420,5.8676999177517536e-2,0.1,7.530864197530865e-2
430,5.8798165533585994e-2,0.1,8.82716049382716e-2
440,5.886568997691047e-2,0.1,8.82716049382716e-2
450,5.920051377510419e-2,0.1,7.469135802469135e-2
460,5.725423451117027e-2,8.333333333333333e-2,7.592592592592591e-2
470,5.7921852935431575e-2,9.090909090909091e-2,8.333333333333334e-2
480,5.6594504746311974e-2,0.1,9.135802469135804e-2
490,6.023592866616499e-2,0.1,7.716049382716048e-2
500,5.983971389841551e-2,0.1,8.08641975308642e-2
