generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.530262,0.565167,0.424500,0.000000,0.498539,0.495360
10,0.608929,0.669559,0.439000,0.190798,0.293045,0.478315
20,0.673545,0.716832,0.229000,0.181984,0.178841,0.247422
30,0.709047,0.733507,0.144000,0.110051,0.095396,0.154455
40,0.725703,0.740709,0.094500,0.072965,0.058098,0.107403
50,0.731958,0.746205,0.071000,0.062478,0.060637,0.085577
60,0.735588,0.747351,0.069500,0.053120,0.047771,0.070148
70,0.737484,0.747754,0.055000,0.044278,0.034824,0.055876
80,0.737431,0.746708,0.057000,0.043137,0.041322,0.059411
90,0.736099,0.750457,0.091500,0.054710,0.064963,0.079743
100,0.736908,0.749930,0.087500,0.057898,0.053690,0.085378
110,0.737823,0.749715,0.064000,0.052469,0.040751,0.077274
120,0.736514,0.749930,0.076000,0.054533,0.060106,0.080195
130,0.739174,0.751236,0.078500,0.048649,0.050033,0.074733
140,0.738989,0.750961,0.066500,0.046853,0.041731,0.071161
150,0.737886,0.751236,0.076000,0.048971,0.052384,0.072520
160,0.738801,0.751238,0.061000,0.048051,0.043755,0.065896
170,0.738782,0.750319,0.061500,0.047380,0.042114,0.061356
180,0.740042,0.751301,0.056000,0.046173,0.044939,0.060410
190,0.740015,0.751301,0.066500,0.044333,0.046873,0.063210
200,0.737879,0.751301,0.065000,0.048373,0.061339,0.067878
210,0.739671,0.751625,0.051500,0.041422,0.053494,0.063074
220,0.740051,0.751625,0.075500,0.041829,0.057722,0.065570
230,0.741478,0.751625,0.058500,0.044339,0.044637,0.062144
240,0.740609,0.751625,0.058500,0.043078,0.048033,0.063990
250,0.739066,0.751625,0.046000,0.045094,0.041388,0.061530
260,0.739552,0.751348,0.056000,0.044869,0.045380,0.054377
270,0.740123,0.751301,0.045500,0.041137,0.040237,0.047766
280,0.739789,0.751301,0.037000,0.038998,0.035208,0.048818
290,0.740252,0.751301,0.051500,0.038729,0.035878,0.048165
300,0.741075,0.751301,0.044000,0.032976,0.041265,0.044439
310,0.739709,0.751301,0.045500,0.040588,0.047192,0.051756
320,0.740408,0.751301,0.043000,0.037773,0.044873,0.048695
330,0.740777,0.751301,0.046500,0.039878,0.047894,0.048431
340,0.738957,0.751301,0.049500,0.044202,0.047314,0.055290
350,0.740118,0.751301,0.042000,0.037800,0.054678,0.049783
360,0.740157,0.751211,0.051500,0.037912,0.040106,0.046922
370,0.740524,0.751561,0.040000,0.036353,0.044784,0.045187
380,0.739637,0.750961,0.052500,0.042402,0.042898,0.052606
390,0.739124,0.751284,0.059000,0.039192,0.048539,0.053452
400,0.740514,0.751348,0.045000,0.042116,0.044106,0.054347
410,0.740054,0.751348,0.059000,0.043561,0.036441,0.055846
420,0.741091,0.751625,0.055500,0.041220,0.034212,0.051837
430,0.741671,0.751625,0.045000,0.034229,0.034996,0.044230
440,0.740489,0.751625,0.048000,0.040214,0.051829,0.054506
450,0.739152,0.751301,0.051000,0.044392,0.053673,0.057150
460,0.742147,0.751301,0.043000,0.029655,0.050171,0.043426
470,0.740631,0.751301,0.046500,0.036167,0.034514,0.045246
480,0.740827,0.751301,0.038500,0.033949,0.042833,0.042292
490,0.739929,0.751623,0.043000,0.035978,0.055592,0.050521
500,0.740946,0.751625,0.055500,0.033222,0.052882,0.049424
