generation,meanFitness,bestFitness,pooledSampledDiv,leafWithinDiv,hubWithinDiv,betweenDiv
0,0.514736,0.579431,0.403000,0.000000,0.499029,0.503560
10,0.593895,0.648422,0.474000,0.216178,0.384155,0.453112
20,0.674563,0.697887,0.237000,0.175292,0.223078,0.282879
30,0.702993,0.724846,0.146000,0.118080,0.147151,0.168359
40,0.717538,0.731434,0.125000,0.089476,0.091788,0.129656
50,0.726018,0.736181,0.087000,0.059100,0.055624,0.090929
60,0.726565,0.736181,0.072000,0.056761,0.052376,0.079753
70,0.727505,0.736614,0.080000,0.061157,0.055396,0.080790
80,0.727232,0.737388,0.082500,0.059933,0.055690,0.076768
90,0.728994,0.737646,0.063500,0.056069,0.035951,0.060797
100,0.732195,0.737646,0.038000,0.036824,0.023486,0.038165
110,0.732074,0.737646,0.048000,0.039896,0.028645,0.039383
120,0.730912,0.737646,0.046000,0.045661,0.039396,0.047474
130,0.731698,0.737646,0.028500,0.033780,0.017192,0.032151
140,0.731924,0.737646,0.035500,0.036355,0.018776,0.034790
150,0.732159,0.737646,0.037000,0.035788,0.015029,0.033554
160,0.731677,0.737646,0.033500,0.035924,0.013624,0.032456
170,0.732585,0.737646,0.030500,0.033110,0.016229,0.031086
180,0.732282,0.737646,0.038500,0.031945,0.018302,0.032506
190,0.731877,0.737646,0.035500,0.035571,0.019053,0.034283
200,0.731127,0.737646,0.040500,0.042235,0.023927,0.042130
210,0.731230,0.737646,0.031000,0.037827,0.018114,0.035685
220,0.732039,0.737646,0.039000,0.035806,0.021763,0.034998
230,0.731614,0.737646,0.030000,0.037957,0.022996,0.035854
240,0.731869,0.737646,0.035500,0.041339,0.017633,0.037777
250,0.732446,0.737646,0.035500,0.035502,0.019273,0.033818
260,0.731196,0.737646,0.038500,0.040014,0.029518,0.040201
270,0.731955,0.737646,0.037000,0.037857,0.030147,0.038960
280,0.731943,0.737646,0.048500,0.043110,0.025510,0.043489
290,0.732484,0.737646,0.037500,0.034437,0.022980,0.034309
300,0.731477,0.737646,0.041500,0.036967,0.021012,0.039118
310,0.730611,0.737646,0.041500,0.037624,0.022016,0.035388
320,0.732096,0.737646,0.033000,0.035937,0.020816,0.034067
330,0.731776,0.737646,0.022500,0.032412,0.019396,0.031004
340,0.731623,0.737646,0.026500,0.033080,0.014220,0.030023
350,0.732059,0.737646,0.033500,0.036743,0.023494,0.036246
360,0.731340,0.737646,0.032500,0.040522,0.020188,0.041592
370,0.731426,0.737646,0.031500,0.040471,0.025298,0.040282
380,0.731757,0.737646,0.029500,0.035969,0.020441,0.034042
390,0.731547,0.737646,0.033500,0.040843,0.014833,0.039632
400,0.731366,0.737646,0.036000,0.039896,0.018441,0.037862
410,0.732721,0.737646,0.036000,0.031147,0.021657,0.031007
420,0.731632,0.737646,0.038500,0.036745,0.016229,0.034938
430,0.731918,0.737646,0.037000,0.034467,0.018147,0.032438
440,0.731359,0.737646,0.037500,0.039059,0.026547,0.037934
450,0.731057,0.737646,0.035500,0.038090,0.022106,0.036516
460,0.732540,0.737646,0.026000,0.031529,0.016865,0.030547
470,0.731710,0.737646,0.034000,0.035924,0.021094,0.033953
480,0.732155,0.737646,0.035500,0.034902,0.021282,0.033919
490,0.731342,0.737646,0.038500,0.039614,0.024531,0.039122
500,0.731100,0.737646,0.041500,0.039665,0.029249,0.040107
