Up to date
generation,meanFitness,bestFitness,diversity
0,0.50026,0.64,0.488
10,0.7917299999999959,0.9,0.3295
20,0.9416500000000074,1.0,0.10400000000000001
30,0.9782800000000117,1.0,4.350000000000002e-2
40,0.9820100000000106,1.0,3.600000000000001e-2
50,0.98274000000001,1.0,3.1500000000000014e-2
60,0.9836400000000093,1.0,3.150000000000001e-2
70,0.9818300000000104,1.0,3.1500000000000014e-2
80,0.9829600000000096,1.0,2.7500000000000004e-2
90,0.9832600000000102,1.0,3.550000000000001e-2
100,0.9820500000000101,1.0,3.450000000000001e-2
110,0.9823300000000105,1.0,3.200000000000001e-2
120,0.9824300000000106,1.0,3.45e-2
130,0.9817500000000102,1.0,3.1000000000000007e-2
140,0.9821500000000097,1.0,3.5e-2
150,0.9821700000000098,1.0,3.400000000000001e-2
160,0.9821200000000103,1.0,4.15e-2
170,0.98187000000001,1.0,3.2000000000000015e-2
180,0.9819800000000108,1.0,2.9500000000000005e-2
190,0.98263000000001,1.0,3.750000000000001e-2
200,0.9834500000000099,1.0,3.250000000000001e-2
210,0.9823400000000109,1.0,3.800000000000001e-2
220,0.9824600000000107,1.0,4.000000000000001e-2
230,0.9842700000000094,1.0,3.400000000000001e-2
240,0.9819000000000107,1.0,4.1000000000000016e-2
250,0.9824400000000107,1.0,3.350000000000001e-2
260,0.9825100000000099,1.0,3.600000000000001e-2
270,0.9825100000000099,1.0,3.950000000000001e-2
280,0.9839600000000096,1.0,2.8000000000000014e-2
290,0.9821900000000101,1.0,2.7000000000000003e-2
300,0.9828500000000103,1.0,3.8e-2
310,0.9827900000000103,1.0,3.550000000000001e-2
320,0.9813000000000102,1.0,3.9500000000000014e-2
330,0.9813800000000104,1.0,4.000000000000001e-2
340,0.9834300000000098,1.0,3.1000000000000007e-2
350,0.9820800000000105,1.0,3.600000000000001e-2
360,0.9820900000000103,1.0,3.65e-2
370,0.9820500000000106,1.0,3.500000000000001e-2
380,0.9818400000000106,1.0,4.200000000000001e-2
390,0.9836800000000094,1.0,3.4999999999999996e-2
400,0.9833600000000104,1.0,3.1000000000000007e-2
410,0.98191000000001,1.0,4.0000000000000015e-2
420,0.9810300000000111,1.0,3.450000000000002e-2
430,0.9826200000000098,1.0,3.650000000000001e-2
440,0.9814700000000102,1.0,3.350000000000001e-2
450,0.9821600000000111,1.0,2.8500000000000004e-2
460,0.9815800000000102,1.0,3.1500000000000014e-2
470,0.9821300000000113,1.0,3.600000000000001e-2
480,0.9818000000000106,1.0,3.85e-2
490,0.9820800000000103,1.0,3.400000000000001e-2
500,0.9829700000000099,1.0,3.800000000000001e-2
