generation,meanFitness,bestFitness,diversity
0,0.5136192297574929,0.5662719046624806,0.5035000000000001
10,0.6178013019529197,0.64113547093561,0.368
20,0.6539011238500213,0.6654848579278074,0.20600000000000002
30,0.6633427149177318,0.6705117342680036,0.11499999999999999
40,0.6653944786779248,0.6711052787609013,9.500000000000001e-2
50,0.666454460357386,0.6711052787609013,6.000000000000002e-2
60,0.6660030022132684,0.6711052787609013,5.950000000000002e-2
70,0.6664578688967064,0.6711052787609013,5.200000000000001e-2
80,0.6657977578838554,0.6711052787609013,4.550000000000001e-2
90,0.6661869427115051,0.6711052787609013,4.600000000000001e-2
100,0.6667229305493682,0.6711052787609013,4.1e-2
110,0.6665489815521933,0.6711052787609013,5.100000000000001e-2
120,0.6664188793562424,0.6711052787609013,5.5000000000000014e-2
130,0.6659511545954584,0.6711052787609013,4.8e-2
140,0.666590743975844,0.6711052787609013,4.95e-2
150,0.666591817040536,0.6711052787609013,4.1e-2
160,0.6666236910915854,0.6711052787609013,4.25e-2
170,0.6661098093976153,0.6711052787609013,5.6000000000000015e-2
180,0.6661049985444302,0.6711052787609013,4.750000000000001e-2
190,0.6665141541838883,0.6711052787609013,3.850000000000001e-2
200,0.6660023204774973,0.6711052787609013,4.550000000000002e-2
210,0.6663223049327577,0.6711052787609013,5.1000000000000024e-2
220,0.6664804211828245,0.6711052787609013,4.1000000000000016e-2
230,0.6661165718583206,0.6711052787609013,4.650000000000001e-2
240,0.6664289515447568,0.6711052787609013,4.350000000000002e-2
250,0.6667418706318109,0.6711052787609013,4.400000000000001e-2
260,0.666152028106017,0.6711052787609013,5.500000000000001e-2
270,0.6666975304493894,0.6711052787609013,4.900000000000001e-2
280,0.666194042001258,0.6711052787609013,5.7000000000000016e-2
290,0.6665295547284285,0.6711052787609013,4.650000000000001e-2
300,0.6662560250796727,0.6711052787609013,4.2000000000000016e-2
310,0.6665535622445539,0.6711052787609013,4.0500000000000015e-2
320,0.6667525098635836,0.6711052787609013,5.100000000000001e-2
330,0.6659369276139689,0.6711052787609013,5.4500000000000014e-2
340,0.6660013006169454,0.6711052787609013,5.300000000000001e-2
350,0.6661843375859153,0.6711052787609013,4.3500000000000004e-2
360,0.6665316425783824,0.6711052787609013,4.650000000000001e-2
370,0.666161888803288,0.6711052787609013,4.5500000000000006e-2
380,0.6664401373310136,0.6711052787609013,3.9000000000000014e-2
390,0.6664833481387622,0.6711052787609013,5.0e-2
400,0.6667375119709601,0.6711052787609013,5.150000000000001e-2
410,0.6663640380726986,0.6711052787609013,4.450000000000002e-2
420,0.6661529610168198,0.6711052787609013,5.3500000000000006e-2
430,0.6670074550046559,0.6711052787609013,4.1500000000000016e-2
440,0.6666521318190819,0.6711052787609013,4.250000000000002e-2
450,0.6665789372685532,0.6711052787609013,4.900000000000002e-2
460,0.666728643983386,0.6711052787609013,4.450000000000002e-2
470,0.6661509150306071,0.6711052787609013,4.250000000000002e-2
480,0.6668467065801685,0.6711052787609013,4.800000000000001e-2
490,0.6664894147012429,0.6711052787609013,4.350000000000002e-2
500,0.6663630284502279,0.6711052787609013,4.7000000000000014e-2
